txn_id,date,reference_no,narration,party,amount,dr_cr,payment_ref
TXN-INV-0141,2025-07-11,INV-0141,NEFT PAYMENT INV-0141 SHREE BALAJI TRADERS,Shree Balaji Traders,93472.82,DR,INV-0141
TXN-INV-0142,2025-06-15,INV-0142,NEFT PAYMENT INV-0142 OM ENTERPRISES,Om Enterprises,66802.34,DR,INV-0142
TXN-INV-0143,2025-07-24,INV-0143,NEFT PAYMENT INV-0143 KUMAR & SONS,Kumar & Sons,66488.36,DR,INV-0143
TXN-INV-0144,2025-06-04,INV-0144,NEFT PAYMENT INV-0144 GLOBAL TECH SOLUTIONS,Global Tech Solutions,73895.75,DR,INV-0144
TXN-INV-0145,2025-06-03,INV-0145,NEFT PAYMENT INV-0145 SUNRISE DISTRIBUTORS,Sunrise Distributors,26170.76,DR,INV-0145
TXN-INV-0146,2025-06-26,INV-0146,NEFT PAYMENT INV-0146 PINNACLE INDUSTRIES,Pinnacle Industries,77146.56,DR,INV-0146
TXN-INV-0147,2025-06-14,INV-0147,NEFT PAYMENT INV-0147 NOVA LOGISTICS,Nova Logistics,28102.99,DR,INV-0147
TXN-INV-0148,2025-07-07,INV-0148,NEFT PAYMENT INV-0148 EVEREST SUPPLIERS,Everest Suppliers,63135.02,DR,INV-0148
TXN-INV-0149,2025-06-21,INV-0149,NEFT PAYMENT INV-0149 SILVERLINE CORP,Silverline Corp,61139.24,DR,INV-0149
TXN-INV-0150,2025-07-02,INV-0150,NEFT PAYMENT INV-0150 ASHOKA METALS,Ashoka Metals,25111.37,DR,INV-0150
TXN-INV-0151,2025-07-29,INV-0151,NEFT PAYMENT INV-0151 SHREE BALAJI TRADERS,Shree Balaji Traders,17571.14,DR,INV-0151
TXN-INV-0152,2025-06-10,INV-0152,NEFT PAYMENT INV-0152 OM ENTERPRISES,Om Enterprises,24864.13,DR,INV-0152
TXN-INV-0153,2025-06-16,INV-0153,NEFT PAYMENT INV-0153 KUMAR & SONS,Kumar & Sons,13713.96,DR,INV-0153
TXN-INV-0154,2025-07-05,INV-0154,NEFT PAYMENT INV-0154 GLOBAL TECH SOLUTIONS,Global Tech Solutions,27877.17,DR,INV-0154
TXN-INV-0159,2025-06-06,INV-0159,NEFT PAYMENT INV-0159 SILVERLINE CORP,Silverline Corp,14918.61,DR,INV-0159
TXN-INV-0160,2025-07-26,INV-0160,NEFT PAYMENT INV-0160 ASHOKA METALS,Ashoka Metals,19277.34,DR,INV-0160
TXN-INV-0161,2025-07-11,INV-0161,NEFT PAYMENT INV-0161 SHREE BALAJI TRADERS,Shree Balaji Traders,7840.79,DR,INV-0161
TXN-INV-0162,2025-07-14,INV-0162,NEFT PAYMENT INV-0162 OM ENTERPRISES,Om Enterprises,8731.68,DR,INV-0162
TXN-INV-0163,2025-06-05,INV-0163,NEFT PAYMENT INV-0163 KUMAR & SONS,Kumar & Sons,13372.23,DR,INV-0163
TXN-INV-0164,2025-07-09,INV-0164,NEFT PAYMENT INV-0164 GLOBAL TECH SOLUTIONS,Global Tech Solutions,12710.38,DR,INV-0164
TXN-INV-0165,2025-07-04,INV-0165,NEFT PAYMENT INV-0165 SUNRISE DISTRIBUTORS,Sunrise Distributors,23531.35,DR,INV-0165
TXN-INV-0166,2025-07-06,INV-0166,NEFT PAYMENT INV-0166 PINNACLE INDUSTRIES,Pinnacle Industries,10350.03,DR,INV-0166
TXN-INV-0167,2025-06-01,INV-0167,NEFT PAYMENT INV-0167 SHREE BALAJI TRADERS,Shree Balaji Traders,21135.81,DR,INV-0167
TXN-INV-0168,2025-06-08,INV-0168,NEFT PAYMENT INV-0168 OM ENTERPRISES,Om Enterprises,17941.01,DR,INV-0168
TXN-INV-0169,2025-07-05,INV-0169,NEFT PAYMENT INV-0169 GLOBAL TECH SOLUTIONS,Global Tech Solutions,17966.28,DR,INV-0169
TXN-INV-0170,2025-07-20,INV-0170,NEFT PAYMENT LESS BANK CHARGES INV-0170 ASHOKA METALS,Ashoka Metals,37718.15,DR,INV-0170
TXN-INV-0171,2025-06-19,INV-0171,NEFT PAYMENT LESS BANK CHARGES INV-0171 SHREE BALAJI TRADERS,Shree Balaji Traders,22235.03,DR,INV-0171
TXN-INV-0172,2025-06-01,INV-0172,NEFT PAYMENT LESS BANK CHARGES INV-0172 OM ENTERPRISES,Om Enterprises,15337.04,DR,INV-0172
TXN-INV-0173,2025-06-17,INV-0173,NEFT PAYMENT LESS BANK CHARGES INV-0173 KUMAR & SONS,Kumar & Sons,42437.20,DR,INV-0173
TXN-INV-0174,2025-07-05,INV-0174,NEFT PAYMENT INV-0174 GLOBAL TECH SOLUTIONS,Global Tech Solutions,28377.88,DR,INV-0174
TXN-INV-0175,2025-07-28,INV-0175,NEFT PAYMENT INV-0175 SUNRISE DISTRIBUTORS,Sunrise Distributors,32822.53,DR,INV-0175
TXN-INV-0176,2025-07-26,INV-0176,NEFT PAYMENT INV-0176 PINNACLE INDUSTRIES,Pinnacle Industries,24346.35,DR,INV-0176
TXN-INV-0177,2025-07-11,INV-0177,NEFT PAYMENT INV-0177 NOVA LOGISTICS,Nova Logistics,24749.01,DR,INV-0177
TXN-INV-0178,2025-07-06,INV-0178,NEFT PAYMENT INV-0178 EVEREST SUPPLIERS,Everest Suppliers,11767.88,DR,INV-0178
TXN-INV-0179,2025-07-17,INV-0179,NEFT PAYMENT INV-0179 SILVERLINE CORP,Silverline Corp,28394.07,DR,INV-0179
TXN-INV-0180,2025-08-11,INV-0180,NEFT PAYMENT INV-0180 ASHOKA METALS,Ashoka Metals,34028.24,DR,INV-0180
TXN-INV-0181,2025-06-01,INV-0181,NEFT PAYMENT INV-0181 SHREE BALAJI TRADERS,Shree Balaji Traders,21545.43,DR,INV-0181
TXN-INV-0182,2025-07-02,INV-0182,NEFT PAYMENT INV-0182 OM ENTERPRISES,Om Enterprises,23568.86,DR,INV-0182
TXN-INV-0183,2025-07-30,INV-0183,NEFT PAYMENT INV-0183 KUMAR & SONS,Kumar & Sons,6474.57,DR,INV-0183
TXN-INV-0184,2025-06-11,INV-0184,NEFT PAYMENT INV-0184 GLOBAL TECH SOLUTIONS,Global Tech Solutions,12324.76,DR,INV-0184
TXN-INV-0185,2025-06-16,INV-0185,NEFT PAYMENT INV-0185 GLOBAL TECH SOLUTIONS,Global Tech Solutions,23340.19,DR,INV-0185
TXN-INV-0186,2025-06-21,INV-0186,NEFT PAYMENT INV-0186 GLOBAL TECH SOLUTIONS,Global Tech Solutions,20179.91,DR,INV-0186
TXN-INV-0187,2025-06-16,INV-0187,NEFT PAYMENT INV-0187 SUNRISE DISTRIBUTORS,Sunrise Distributors,17700.00,DR,INV-0187
TXN-INV-0188,2025-06-04,INV-0188,NEFT PAYMENT INV-0188 PINNACLE INDUSTRIES,Pinnacle Industries,17700.00,DR,INV-0188
TXN-AMBIG-0,2025-07-08,NA,NEFT PAYMENT NOVA LOGISTICS,Nova Logistics,14642.29,DR,NA
TXN-AMBIG-1,2025-06-07,NA,NEFT PAYMENT EVEREST SUPPLIERS,Everest Suppliers,22974.00,DR,NA
TXN-AMBIG-2,2025-06-06,NA,NEFT PAYMENT SILVERLINE CORP,Silverline Corp,20436.51,DR,NA
TXN-INV-0197,2025-07-31,INV-0197,NEFT PAYMENT INV-0197 OM ENTERPRISES,Om Enterprises,35155.17,DR,INV-0197
TXN-INV-0198,2025-06-17,INV-0198,NEFT PAYMENT INV-0198 KUMAR & SONS,Kumar & Sons,31263.05,DR,INV-0198
TXN-INV-0199,2025-07-09,INV-0199,NEFT PAYMENT INV-0199 GLOBAL TECH SOLUTIONS,Global Tech Solutions,30479.65,DR,INV-0199
