supplier_gstin,supplier_name,invoice_no,invoice_date,taxable_value,cgst,sgst,igst,itc_eligible
27AAACB1234F1Z5,Shree Balaji Traders,INV-0167,2025-06-01,17911.70,1612.06,1612.06,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0168,2025-06-08,15204.25,1368.38,1368.38,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0169,2025-07-05,15225.66,1370.31,1370.31,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0170,2025-07-20,32028.09,2882.53,2882.53,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0171,2025-06-19,18885.62,1699.70,1699.70,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0172,2025-06-01,13061.05,1175.49,1175.49,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0173,2025-06-17,36027.29,3242.45,3242.45,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0174,2025-07-03,24049.05,2164.41,2164.41,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0175,2025-07-26,27815.70,2503.41,2503.41,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0176,2025-07-24,20632.50,1856.92,1856.92,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0177,2025-07-09,20973.74,1887.63,1887.63,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0178,2025-06-24,9972.78,897.55,897.55,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0179,2025-07-05,24062.77,2165.65,2165.65,0.00,YES
09AAACA8901O1Z9,Ashoka Metals,INV-0180,2025-07-30,28837.49,2595.38,2595.38,0.00,YES
27AAACB1234F1Z5,Shree Balaji Traders,INV-0181,2025-06-01,18258.84,1643.30,1643.30,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0182,2025-07-02,19973.61,1797.62,1797.62,0.00,YES
29AAACK9012H1Z8,Kumar & Sons,INV-0183,2025-07-30,5486.92,493.82,493.82,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0184,2025-06-11,10444.71,940.02,940.02,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0185,2025-06-16,19779.82,1780.18,1780.18,0.00,YES
36AAACG3456I1Z1,Global Tech Solutions,INV-0186,2025-06-21,17101.62,1539.14,1539.14,0.00,YES
19AAACS7890J1Z4,Sunrise Distributors,INV-0187,2025-06-16,15000.00,1350.00,1350.00,0.00,YES
24AAACP2345K1Z7,Pinnacle Industries,INV-0188,2025-06-04,15000.00,1350.00,1350.00,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0189,2025-07-07,12408.72,1116.79,1116.79,0.00,YES
33AAACN6789L1Z0,Nova Logistics,INV-0190,2025-07-07,12408.72,1116.79,1116.79,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0191,2025-06-06,19469.49,1752.26,1752.26,0.00,YES
06AAACE0123M1Z3,Everest Suppliers,INV-0192,2025-06-06,19469.49,1752.26,1752.26,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0193,2025-06-05,17319.08,1558.71,1558.71,0.00,YES
27AAACS4567N1Z6,Silverline Corp,INV-0194,2025-06-05,17319.08,1558.71,1558.71,0.00,YES
07AAACO5678G1Z2,Om Enterprises,INV-0197,2025-07-31,29792.52,2681.32,2681.32,0.00,NO
29AAACK9012H1Z8,Kumar & Sons,INV-0198,2025-06-17,26494.11,2384.47,2384.47,0.00,NO
36AAACG3456I1Z1,Global Tech Solutions,INV-0199,2025-07-09,25830.21,2324.72,2324.72,0.00,NO
