voucher_id,invoice_no,party,gstin,date,ledger,amount,payment_status
V-INV-0163,INV-0163,Kumar & Sons,29AAACK9012H1Z8,2025-06-05,Purchase,13372.23,PAID
V-INV-0163-DUP2,INV-0163,Kumar & Sons,29AAACK9012H1Z8,2025-06-05,Purchase,13372.23,PAID
V-INV-0164,INV/0164,Global Tech Solutions,36AAACG3456I1Z1,2025-07-09,Purchase,12710.38,PAID
V-INV-0165,INV 0165,Sunrise Distributors,19AAACS7890J1Z4,2025-07-04,Purchase,23531.35,PAID
V-INV-0166,inv-0166,Pinnacle Industries,24AAACP2345K1Z7,2025-07-06,Purchase,10350.03,PAID
V-INV-0167,INV-0167,Shree Balaji Traders Pvt Ltd,27AAACB1234F1Z5,2025-06-01,Purchase,21135.81,PAID
V-INV-0168,INV-0168,OM ENTERPRISES,07AAACO5678G1Z2,2025-06-08,Purchase,17941.01,PAID
V-INV-0169,INV-0169,Global Tech Solutions Pvt Ltd,36AAACG3456I1Z1,2025-07-05,Purchase,17966.28,PAID
V-INV-0170,INV-0170,Ashoka Metals,09AAACA8901O1Z9,2025-07-20,Purchase,37793.15,PAID
V-INV-0171,INV-0171,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-19,Purchase,22285.03,PAID
V-INV-0172,INV-0172,Om Enterprises,07AAACO5678G1Z2,2025-06-01,Purchase,15412.04,PAID
V-INV-0173,INV-0173,Kumar & Sons,29AAACK9012H1Z8,2025-06-17,Purchase,42512.20,PAID
V-INV-0174,INV-0174,Global Tech Solutions,36AAACG3456I1Z1,2025-07-03,Purchase,28377.88,PAID
V-INV-0175,INV-0175,Sunrise Distributors,19AAACS7890J1Z4,2025-07-26,Purchase,32822.53,PAID
V-INV-0176,INV-0176,Pinnacle Industries,24AAACP2345K1Z7,2025-07-24,Purchase,24346.35,PAID
V-INV-0177,INV-0177,Nova Logistics,33AAACN6789L1Z0,2025-07-09,Purchase,24749.01,PAID
V-INV-0178,INV-0178,Everest Suppliers,06AAACE0123M1Z3,2025-06-24,Purchase,11767.88,PAID
V-INV-0179,INV-0179,Silverline Corp,27AAACS4567N1Z6,2025-07-05,Purchase,28394.07,PAID
V-INV-0180,INV-0180,Ashoka Metals,09AAACA8901O1Z9,2025-07-30,Purchase,34028.24,PAID
V-INV-0181,INV-0181,Shree Balaji Traders,07AAACO5678G1Z2,2025-06-01,Purchase,21545.43,PAID
V-INV-0182,INV-0182,Om Enterprises,29AAACK9012H1Z8,2025-07-02,Purchase,23568.86,PAID
V-INV-0183,INV-0183,Kumar & Sons,36AAACG3456I1Z1,2025-07-30,Purchase,6474.57,PAID
V-INV-0184,INV-0184,Global Tech Solutions,36AAACG3456I1Z1,2025-06-11,Purchase,12324.76,PAID
V-INV-0185,INV-0185,Global Tech Solutions,36AAACG3456I1Z1,2025-06-16,Purchase,23340.19,PAID
V-INV-0186,INV-0186,Global Tech Solutions,36AAACG3456I1Z1,2025-06-21,Purchase,20179.91,PAID
V-INV-0187,INV-0187,Sunrise Distributors,19AAACS7890J1Z4,2025-06-16,Purchase,17700.00,PAID
V-INV-0188,INV-0188,Pinnacle Industries,24AAACP2345K1Z7,2025-06-04,Purchase,17700.00,PAID
V-INV-0189,INV-0189,Nova Logistics,33AAACN6789L1Z0,2025-07-07,Purchase,14642.29,PAID
V-INV-0190,INV-0190,Nova Logistics,33AAACN6789L1Z0,2025-07-07,Purchase,14642.29,PAID
V-INV-0191,INV-0191,Everest Suppliers,06AAACE0123M1Z3,2025-06-06,Purchase,22974.00,PAID
V-INV-0192,INV-0192,Everest Suppliers,06AAACE0123M1Z3,2025-06-06,Purchase,22974.00,PAID
V-INV-0193,INV-0193,Silverline Corp,27AAACS4567N1Z6,2025-06-05,Purchase,20436.51,PAID
V-INV-0194,INV-0194,Silverline Corp,27AAACS4567N1Z6,2025-06-05,Purchase,20436.51,PAID
V-INV-0197,INV-0197,Om Enterprises,07AAACO5678G1Z2,2025-07-31,Purchase,35155.17,PAID
V-INV-0198,INV-0198,Kumar & Sons,29AAACK9012H1Z8,2025-06-17,Purchase,31263.05,PAID
V-INV-0199,INV-0199,Global Tech Solutions,36AAACG3456I1Z1,2025-07-09,Purchase,30479.65,PAID
