invoice_id,invoice_no,vendor,gstin,date,taxable_value,tax,total,payment_status
II-INV-0152,INV-0152,Om Enterprises,07AAACO5678G1Z2,2025-06-10,21071.30,3792.82,24864.13,PAID
II-INV-0153,INV-0153,Kumar & Sons,29AAACK9012H1Z8,2025-06-16,11622.00,2091.96,13713.96,PAID
II-INV-0154,INV-0154,Global Tech Solutions,36AAACG3456I1Z1,2025-07-05,23624.72,4252.44,27877.17,PAID
II-INV-0155,INV-0155,Sunrise Distributors,19AAACS7890J1Z4,2025-07-08,11568.54,2082.34,13650.88,UNPAID
II-INV-0156,INV-0156,Pinnacle Industries,24AAACP2345K1Z7,2025-07-08,15710.85,2827.94,18538.80,UNPAID
II-INV-0157,INV-0157,Nova Logistics,33AAACN6789L1Z0,2025-06-15,14985.01,2697.30,17682.31,UNPAID
II-INV-0158,INV-0158,Everest Suppliers,06AAACE0123M1Z3,2025-06-09,29933.14,5387.98,35321.11,UNPAID
II-INV-0159,INV-0159,Silverline Corp,27AAACS4567N1Z6,2025-06-06,12642.89,2275.72,14918.61,PAID
II-INV-0159-DUP,INV-0159,Silverline Corp,27AAACS4567N1Z6,2025-06-06,12642.89,2275.72,14918.61,PAID
II-INV-0160,INV-0160,Ashoka Metals,09AAACA8901O1Z9,2025-07-26,16336.73,2940.62,19277.34,PAID
II-INV-0160-DUP,INV-0160,Ashoka Metals,09AAACA8901O1Z9,2025-07-26,16336.73,2940.62,19277.34,PAID
II-INV-0161,INV-0161,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-11,6644.74,1196.04,7840.79,PAID
II-INV-0161-DUP,INV-0161,Shree Balaji Traders,27AAACB1234F1Z5,2025-07-11,6644.74,1196.04,7840.79,PAID
II-INV-0162,INV-0162,Om Enterprises,07AAACO5678G1Z2,2025-07-14,7399.73,1331.96,8731.68,PAID
II-INV-0163,INV-0163,Kumar & Sons,29AAACK9012H1Z8,2025-06-05,11332.40,2039.82,13372.23,PAID
II-INV-0164,INV-0164,Global Tech Solutions,36AAACG3456I1Z1,2025-07-09,10771.51,1938.86,12710.38,PAID
II-INV-0165,INV-0165,Sunrise Distributors,19AAACS7890J1Z4,2025-07-04,19941.82,3589.54,23531.35,PAID
II-INV-0166,INV-0166,Pinnacle Industries,24AAACP2345K1Z7,2025-07-06,8771.21,1578.82,10350.03,PAID
II-INV-0167,INV-0167,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-01,17911.70,3224.12,21135.81,PAID
II-INV-0168,INV-0168,Om Enterprises,07AAACO5678G1Z2,2025-06-08,15204.25,2736.76,17941.01,PAID
II-INV-0169,INV-0169,Global Tech Solutions,36AAACG3456I1Z1,2025-07-05,15225.66,2740.62,17966.28,PAID
II-INV-0170,INV-0170,Ashoka Metals,09AAACA8901O1Z9,2025-07-20,32028.09,5765.06,37793.15,PAID
II-INV-0171,INV-0171,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-19,18885.62,3399.40,22285.03,PAID
II-INV-0172,INV-0172,Om Enterprises,07AAACO5678G1Z2,2025-06-01,13061.05,2350.98,15412.04,PAID
II-INV-0173,INV-0173,Kumar & Sons,29AAACK9012H1Z8,2025-06-17,36027.29,6484.90,42512.20,PAID
II-INV-0174,INV-0174,Global Tech Solutions,36AAACG3456I1Z1,2025-07-03,24049.05,4328.82,28377.88,PAID
II-INV-0175,INV-0175,Sunrise Distributors,19AAACS7890J1Z4,2025-07-26,27815.70,5006.82,32822.53,PAID
II-INV-0176,INV-0176,Pinnacle Industries,24AAACP2345K1Z7,2025-07-24,20632.50,3713.84,24346.35,PAID
II-INV-0177,INV-0177,Nova Logistics,33AAACN6789L1Z0,2025-07-09,20973.74,3775.26,24749.01,PAID
II-INV-0178,INV-0178,Everest Suppliers,06AAACE0123M1Z3,2025-06-24,9972.78,1795.10,11767.88,PAID
II-INV-0179,INV-0179,Silverline Corp,27AAACS4567N1Z6,2025-07-05,24062.77,4331.30,28394.07,PAID
II-INV-0180,INV-0180,Ashoka Metals,09AAACA8901O1Z9,2025-07-30,28837.49,5190.76,34028.24,PAID
II-INV-0181,INV-0181,Shree Balaji Traders,27AAACB1234F1Z5,2025-06-01,18258.84,3286.60,21545.43,PAID
II-INV-0182,INV-0182,Om Enterprises,07AAACO5678G1Z2,2025-07-02,19973.61,3595.24,23568.86,PAID
II-INV-0183,INV-0183,Kumar & Sons,29AAACK9012H1Z8,2025-07-30,5486.92,987.64,6474.57,PAID
II-INV-0184,INV-0184,Global Tech Solutions,36AAACG3456I1Z1,2025-06-11,10444.71,1880.04,12324.76,PAID
II-INV-0185,INV-0185,Global Tech Solutions,36AAACG3456I1Z1,2025-06-16,19779.82,3560.36,23340.19,PAID
II-INV-0186,INV-0186,Global Tech Solutions,36AAACG3456I1Z1,2025-06-21,17101.62,3078.28,20179.91,PAID
II-INV-0187,INV-0187,Sunrise Distributors,19AAACS7890J1Z4,2025-06-16,15000.00,2700.00,17700.00,PAID
II-INV-0188,INV-0188,Pinnacle Industries,24AAACP2345K1Z7,2025-06-04,15000.00,2700.00,17700.00,PAID
II-INV-0189,INV-0189,Nova Logistics,33AAACN6789L1Z0,2025-07-07,12408.72,2233.58,14642.29,PAID
II-INV-0190,INV-0190,Nova Logistics,33AAACN6789L1Z0,2025-07-07,12408.72,2233.58,14642.29,PAID
II-INV-0191,INV-0191,Everest Suppliers,06AAACE0123M1Z3,2025-06-06,19469.49,3504.52,22974.00,PAID
II-INV-0192,INV-0192,Everest Suppliers,06AAACE0123M1Z3,2025-06-06,19469.49,3504.52,22974.00,PAID
II-INV-0193,INV-0193,Silverline Corp,27AAACS4567N1Z6,2025-06-05,17319.08,3117.42,20436.51,PAID
II-INV-0194,INV-0194,Silverline Corp,27AAACS4567N1Z6,2025-06-05,17319.08,3117.42,20436.51,PAID
II-INV-0195,INV-0195,Unregistered Vendor XYZ,INVALIDGSTIN123,2025-07-05,14779.84,2660.36,17440.21,UNPAID
II-INV-0196,INV-0196,Unregistered Vendor XYZ,INVALIDGSTIN123,2025-06-09,12658.34,2278.50,14936.84,UNPAID
II-INV-0197,INV-0197,Om Enterprises,07AAACO5678G1Z2,2025-07-31,29792.52,5362.64,35155.17,PAID
II-INV-0198,INV-0198,Kumar & Sons,29AAACK9012H1Z8,2025-06-17,26494.11,4768.94,31263.05,PAID
II-INV-0199,INV-0199,Global Tech Solutions,36AAACG3456I1Z1,2025-07-09,25830.21,4649.44,30479.65,PAID
