invoice_no,gstin,customer,taxable_amt,cgst,sgst,igst,total,date
INV-0149,27AAACS4567N1Z6,Silverline Corp,45054.71,4054.93,4054.93,0.00,53164.56,2025-06-21
INV-0150,09AAACA8901O1Z9,Ashoka Metals,18505.06,1665.45,1665.45,0.00,21835.97,2025-07-02
INV-0151,27AAACB1234F1Z5,Shree Balaji Traders,14890.80,1340.17,1340.17,0.00,17571.14,2025-07-29
INV-0152,07AAACO5678G1Z2,Om Enterprises,21071.30,1896.41,1896.41,0.00,24864.13,2025-06-10
INV-0153,29AAACK9012H1Z8,Kumar & Sons,11622.00,1045.98,1045.98,0.00,13713.96,2025-06-16
INV-0154,36AAACG3456I1Z1,Global Tech Solutions,23624.72,2126.22,2126.22,0.00,27877.17,2025-07-05
INV-0155,19AAACS7890J1Z4,Sunrise Distributors,11568.54,1041.17,1041.17,0.00,13650.88,2025-07-08
INV-0156,24AAACP2345K1Z7,Pinnacle Industries,15710.85,1413.97,1413.97,0.00,18538.80,2025-07-08
INV-0157,33AAACN6789L1Z0,Nova Logistics,14985.01,1348.65,1348.65,0.00,17682.31,2025-06-15
INV-0158,06AAACE0123M1Z3,Everest Suppliers,29933.14,2693.99,2693.99,0.00,35321.11,2025-06-09
INV-0159,27AAACS4567N1Z6,Silverline Corp,12642.89,1137.86,1137.86,0.00,14918.61,2025-06-06
INV-0160,09AAACA8901O1Z9,Ashoka Metals,16336.73,1470.31,1470.31,0.00,19277.34,2025-07-26
INV-0161,27AAACB1234F1Z5,Shree Balaji Traders,6644.74,598.02,598.02,0.00,7840.79,2025-07-11
INV-0162,07AAACO5678G1Z2,Om Enterprises,7399.73,665.98,665.98,0.00,8731.68,2025-07-14
INV-0163,29AAACK9012H1Z8,Kumar & Sons,11332.40,1019.91,1019.91,0.00,13372.23,2025-06-05
INV-0164,36AAACG3456I1Z1,Global Tech Solutions,10771.51,969.43,969.43,0.00,12710.38,2025-07-09
INV-0165,19AAACS7890J1Z4,Sunrise Distributors,19941.82,1794.77,1794.77,0.00,23531.35,2025-07-04
INV-0166,24AAACP2345K1Z7,Pinnacle Industries,8771.21,789.41,789.41,0.00,10350.03,2025-07-06
INV-0167,27AAACB1234F1Z5,Shree Balaji Traders,17911.70,1612.06,1612.06,0.00,21135.81,2025-06-01
INV-0168,07AAACO5678G1Z2,Om Enterprises,15204.25,1368.38,1368.38,0.00,17941.01,2025-06-08
INV-0169,36AAACG3456I1Z1,Global Tech Solutions,15225.66,1370.31,1370.31,0.00,17966.28,2025-07-05
INV-0170,09AAACA8901O1Z9,Ashoka Metals,32028.09,2882.53,2882.53,0.00,37793.15,2025-07-20
INV-0171,27AAACB1234F1Z5,Shree Balaji Traders,18885.62,1699.70,1699.70,0.00,22285.03,2025-06-19
INV-0172,07AAACO5678G1Z2,Om Enterprises,13061.05,1175.49,1175.49,0.00,15412.04,2025-06-01
INV-0173,29AAACK9012H1Z8,Kumar & Sons,36027.29,3242.45,3242.45,0.00,42512.20,2025-06-17
INV-0174,36AAACG3456I1Z1,Global Tech Solutions,24049.05,2164.41,2164.41,0.00,28377.88,2025-07-03
INV-0175,19AAACS7890J1Z4,Sunrise Distributors,27815.70,2503.41,2503.41,0.00,32822.53,2025-07-26
INV-0176,24AAACP2345K1Z7,Pinnacle Industries,20632.50,1856.92,1856.92,0.00,24346.35,2025-07-24
INV-0177,33AAACN6789L1Z0,Nova Logistics,20973.74,1887.63,1887.63,0.00,24749.01,2025-07-09
INV-0178,06AAACE0123M1Z3,Everest Suppliers,9972.78,897.55,897.55,0.00,11767.88,2025-06-24
INV-0179,27AAACS4567N1Z6,Silverline Corp,24062.77,2165.65,2165.65,0.00,28394.07,2025-07-05
INV-0180,09AAACA8901O1Z9,Ashoka Metals,28837.49,2595.38,2595.38,0.00,34028.24,2025-07-30
INV-0181,27AAACB1234F1Z5,Shree Balaji Traders,18258.84,1643.30,1643.30,0.00,21545.43,2025-06-01
INV-0182,07AAACO5678G1Z2,Om Enterprises,19973.61,1797.62,1797.62,0.00,23568.86,2025-07-02
INV-0183,29AAACK9012H1Z8,Kumar & Sons,5486.92,493.82,493.82,0.00,6474.57,2025-07-30
INV-0184,36AAACG3456I1Z1,Global Tech Solutions,10444.71,940.02,940.02,0.00,12324.76,2025-06-11
INV-0185,36AAACG3456I1Z1,Global Tech Solutions,19779.82,1780.18,1780.18,0.00,23340.19,2025-06-16
INV-0186,36AAACG3456I1Z1,Global Tech Solutions,17101.62,1539.14,1539.14,0.00,20179.91,2025-06-21
INV-0187,19AAACS7890J1Z4,Sunrise Distributors,15000.00,1350.00,1350.00,0.00,17700.00,2025-06-16
INV-0188,24AAACP2345K1Z7,Pinnacle Industries,15000.00,1350.00,1350.00,0.00,17700.00,2025-06-04
INV-0189,33AAACN6789L1Z0,Nova Logistics,12408.72,1116.79,1116.79,0.00,14642.29,2025-07-07
INV-0190,33AAACN6789L1Z0,Nova Logistics,12408.72,1116.79,1116.79,0.00,14642.29,2025-07-07
INV-0191,06AAACE0123M1Z3,Everest Suppliers,19469.49,1752.26,1752.26,0.00,22974.00,2025-06-06
INV-0192,06AAACE0123M1Z3,Everest Suppliers,19469.49,1752.26,1752.26,0.00,22974.00,2025-06-06
INV-0193,27AAACS4567N1Z6,Silverline Corp,17319.08,1558.71,1558.71,0.00,20436.51,2025-06-05
INV-0194,27AAACS4567N1Z6,Silverline Corp,17319.08,1558.71,1558.71,0.00,20436.51,2025-06-05
INV-0197,07AAACO5678G1Z2,Om Enterprises,29792.52,2681.32,2681.32,0.00,35155.17,2025-07-31
INV-0198,29AAACK9012H1Z8,Kumar & Sons,26494.11,2384.47,2384.47,0.00,31263.05,2025-06-17
INV-0199,36AAACG3456I1Z1,Global Tech Solutions,25830.21,2324.72,2324.72,0.00,30479.65,2025-07-09
