invoice_no,vendor,edge_case,status_expected
INV-0174,Global Tech Solutions,date_within_tolerance,MATCHED_WITH_TOLERANCE
INV-0175,Sunrise Distributors,date_within_tolerance,MATCHED_WITH_TOLERANCE
INV-0176,Pinnacle Industries,date_within_tolerance,MATCHED_WITH_TOLERANCE
INV-0177,Nova Logistics,date_within_tolerance,MATCHED_WITH_TOLERANCE
INV-0178,Everest Suppliers,date_outside_tolerance,PARTIAL_MATCH
INV-0179,Silverline Corp,date_outside_tolerance,PARTIAL_MATCH
INV-0180,Ashoka Metals,date_outside_tolerance,PARTIAL_MATCH
INV-0181,Shree Balaji Traders,gstin_mismatch,MISMATCH
INV-0182,Om Enterprises,gstin_mismatch,MISMATCH
INV-0183,Kumar & Sons,gstin_mismatch,MISMATCH
INV-0184,Global Tech Solutions,same_vendor_multi_invoice,MATCHED
INV-0185,Global Tech Solutions,same_vendor_multi_invoice,MATCHED
INV-0186,Global Tech Solutions,same_vendor_multi_invoice,MATCHED
INV-0187,Sunrise Distributors,same_amount_diff_invoice,MATCHED
INV-0188,Pinnacle Industries,same_amount_diff_invoice,MATCHED
INV-0189,Nova Logistics,multiple_plausible_matches,AMBIGUOUS
INV-0190,Nova Logistics,multiple_plausible_matches,AMBIGUOUS
INV-0191,Everest Suppliers,multiple_plausible_matches,AMBIGUOUS
INV-0192,Everest Suppliers,multiple_plausible_matches,AMBIGUOUS
INV-0193,Silverline Corp,multiple_plausible_matches,AMBIGUOUS
INV-0194,Silverline Corp,multiple_plausible_matches,AMBIGUOUS
INV-0195,Unregistered Vendor XYZ,unknown_invalid_vendor,REVIEW_REQUIRED
INV-0196,Unregistered Vendor XYZ,unknown_invalid_vendor,REVIEW_REQUIRED
INV-0197,Om Enterprises,itc_mismatch,PARTIAL_MATCH
INV-0198,Kumar & Sons,itc_mismatch,PARTIAL_MATCH
INV-0199,Global Tech Solutions,itc_mismatch,PARTIAL_MATCH
GSTR3B-SUMMARY,ALL,gstr3b_summary_variance,REVIEW_REQUIRED
